Word,Classification
है,correct spelling
तो,correct spelling
में,correct spelling
जी,correct spelling
हैं,correct spelling
भी,correct spelling
के,correct spelling
नहीं,correct spelling
कि,correct spelling
वो,incorrect spelling
और,correct spelling
से,correct spelling
जो,correct spelling
हो,correct spelling
मतलब,correct spelling
हां,correct spelling
हम,correct spelling
की,incorrect spelling
एक,correct spelling
ही,correct spelling
का,correct spelling
आप,correct spelling
को,incorrect spelling
ये,incorrect spelling
था,correct spelling
बहुत,correct spelling
मैं,correct spelling
कुछ,correct spelling
अच्छा,correct spelling
हाँ,correct spelling
होता,correct spelling
जैसे,incorrect spelling
क्या,correct spelling
ना,incorrect spelling
फिर,correct spelling
कर,correct spelling
लोग,correct spelling
कोई,correct spelling
हम्म,incorrect spelling
बिल्कुल,correct spelling
बात,correct spelling
पर,correct spelling
थे,incorrect spelling
अगर,correct spelling
पे,incorrect spelling
ऐसा,incorrect spelling
या,incorrect spelling
मुझे,incorrect spelling
लिए,incorrect spelling
रहा,correct spelling
रहे,incorrect spelling
आ,correct spelling
अपने,correct spelling
आपको,incorrect spelling
साथ,correct spelling
हूं,correct spelling
सब,correct spelling
गया,correct spelling
करते,incorrect spelling
जब,correct spelling
अब,incorrect spelling
थी,incorrect spelling
हा,correct spelling
करना,incorrect spelling
मेरे,incorrect spelling
यह,correct spelling
लेकिन,correct spelling
सर,correct spelling
अभी,incorrect spelling
अ,correct spelling
उस,correct spelling
होती,incorrect spelling
घर,correct spelling
जाता,correct spelling
ऐसे,incorrect spelling
पहले,incorrect spelling
हमारे,incorrect spelling
चीज,correct spelling
किसी,correct spelling
मैंने,incorrect spelling
लगता,correct spelling
ज्यादा,correct spelling
टाइम,correct spelling
कभी,correct spelling
उसके,incorrect spelling
रही,incorrect spelling
सकते,correct spelling
सही,incorrect spelling
क्योंकि,correct spelling
चाहिए,correct spelling
इस,correct spelling
हमें,incorrect spelling
ठीक,correct spelling
न,correct spelling
हूँ,correct spelling
होते,incorrect spelling
जाते,incorrect spelling
हुआ,correct spelling
काम,correct spelling
थोड़ा,incorrect spelling
उसको,incorrect spelling
बाद,correct spelling
उसमें,incorrect spelling
है।,incorrect spelling
मेरा,correct spelling
कहीं,correct spelling
किया,correct spelling
दिन,correct spelling
वहां,correct spelling
रहता,correct spelling
बार,correct spelling
आपने,incorrect spelling
अपना,correct spelling
आज,incorrect spelling
गए,correct spelling
वह,correct spelling
पता,correct spelling
अलग,correct spelling
करके,incorrect spelling
वही,incorrect spelling
लोगों,correct spelling
दो,correct spelling
"है,",incorrect spelling
करने,incorrect spelling
काफी,correct spelling
आपके,incorrect spelling
हमारा,correct spelling
होगा,correct spelling
कैसे,incorrect spelling
लगा,correct spelling
समय,correct spelling
तक,correct spelling
आपका,incorrect spelling
बस,correct spelling
जाती,incorrect spelling
जा,incorrect spelling
बारे,incorrect spelling
सा,correct spelling
यही,incorrect spelling
उनको,incorrect spelling
पास,correct spelling
अच्छी,incorrect spelling
टॉपिक,correct spelling
अच्छे,incorrect spelling
ह्म्म,incorrect spelling
।,incorrect spelling
गई,correct spelling
वहाँ,incorrect spelling
हर,correct spelling
आता,correct spelling
सबसे,incorrect spelling
ने,incorrect spelling
दिया,correct spelling
ले,correct spelling
इतना,incorrect spelling
जगह,correct spelling
खाना,correct spelling
हु,incorrect spelling
चीजें,incorrect spelling
तरह,correct spelling
करता,correct spelling
अपनी,incorrect spelling
रहते,incorrect spelling
यहां,correct spelling
पसंद,correct spelling
मेरी,correct spelling
उनके,incorrect spelling
उसका,correct spelling
भाई,correct spelling
मिल,correct spelling
स्कूल,correct spelling
दोस्त,correct spelling
इसमें,incorrect spelling
सारे,incorrect spelling
बना,correct spelling
कम,correct spelling
जाना,correct spelling
दे,correct spelling
आपकी,incorrect spelling
वैसे,incorrect spelling
सारी,correct spelling
वगैरह,correct spelling
जाए,correct spelling
बाहर,correct spelling
हमने,incorrect spelling
ऐसी,incorrect spelling
वाले,incorrect spelling
सकता,correct spelling
बच्चे,incorrect spelling
देते,incorrect spelling
तब,correct spelling
वाला,correct spelling
याद,correct spelling
आगे,incorrect spelling
बोल,correct spelling
देखा,incorrect spelling
खुद,correct spelling
पूरा,correct spelling
लेते,incorrect spelling
कौन,correct spelling
देख,correct spelling
मैम,correct spelling
हमारी,incorrect spelling
तरीके,incorrect spelling
कई,correct spelling
मे,incorrect spelling
आह,correct spelling
अह,correct spelling
हेलो,incorrect spelling
"हैं,",incorrect spelling
उससे,incorrect spelling
अनुभव,correct spelling
वगैरा,correct spelling
आती,incorrect spelling
परिवार,correct spelling
आते,incorrect spelling
बता,correct spelling
समझ,correct spelling
हैं।,incorrect spelling
खाने,incorrect spelling
चल,correct spelling
उनका,correct spelling
ज़्यादा,correct spelling
इसके,incorrect spelling
लग,correct spelling
कहा,incorrect spelling
कॉलेज,correct spelling
सी,correct spelling
नही,correct spelling
हुए,correct spelling
बोलते,incorrect spelling
फोन,correct spelling
बट,correct spelling
लिया,correct spelling
उसे,incorrect spelling
रहती,incorrect spelling
हुई,incorrect spelling
ओके,incorrect spelling
आवाज,correct spelling
बचपन,correct spelling
आजकल,correct spelling
अंदर,correct spelling
दूसरे,incorrect spelling
आया,correct spelling
मन,correct spelling
मिलता,incorrect spelling
करेंगे,correct spelling
नए,correct spelling
दोस्तों,incorrect spelling
